"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 21 14:30:42 UTC 2022","Mon Nov 21 14:30:45 UTC 2022","2623","","test suite for login functionality","","","","Should open website, fill login form with invalid credentials and get error",""
"passed","Mon Nov 21 14:30:39 UTC 2022","Mon Nov 21 14:30:42 UTC 2022","3360","","test suite for login functionality","","","","Should open website, fill login form with valid credentials and login into account",""
"passed","Mon Nov 21 14:30:55 UTC 2022","Mon Nov 21 14:30:57 UTC 2022","2231","","logout functionality check","","","","Should logout from account",""
"passed","Mon Nov 21 14:30:52 UTC 2022","Mon Nov 21 14:30:55 UTC 2022","3027","","logout functionality check","","","","Should login into account",""
